path,energi0,homogenitas0,entropy0,contras0,dissimilarity0,ASM0,correlation0,energi45,homogenitas45,entropy45,contras45,dissimilarity45,ASM45,correlation45,energi90,homogenitas90,entropy90,contras90,dissimilarity90,ASM90,correlation90,energi135,homogenitas135,entropy135,contras135,dissimilarity135,ASM135,correlation135,labels
Kawung328.jpg,0.35345841140483075,0.783014979104512,1.7110200519484724,715816960.9999999,5592321.0,0.35345841140483075,0.5447515053977593,0.3253575511503649,0.727124534801464,1.7976624195006696,715816961.0,5592321.0,0.3253575511503649,0.4269955732670701,0.35433462899328494,0.7837941746378372,1.708797999416394,715816961.0,5592321.0,0.35433462899328494,0.545972360414184,0.32474464708439554,0.7257712299695507,1.7994770991152111,715816961.0000001,5592321.0,0.32474464708439554,0.42415380198931435,Kawung
Kawung329.jpg,0.5974406788029244,0.8019331930689263,1.1579663378703131,715816961.0,5592321.0,0.5974406788029244,0.18730949196336924,0.5951769773581006,0.7967428413250084,1.1597535825745073,715816961.0,5592320.999999999,0.5951769773581006,0.16311597378291898,0.5986280405268076,0.8030480115646049,1.1555107579715937,715816961.0,5592321.000000001,0.5986280405268076,0.190179441791349,0.594994533111433,0.7964352720450282,1.159990379861985,715816961.0,5592321.0,0.594994533111433,0.1618495986202968,Kawung
Kawung330.jpg,0.42370535352238325,0.7282210913711439,1.5800815208769632,715816961.0000001,5592321.0,0.42370535352238325,0.2817146563819219,0.41624267589388697,0.7091471103866146,1.594921305519586,715816961.0,5592320.999999999,0.41624267589388697,0.22951277078936183,0.4265656708795496,0.7320610217451481,1.5736388590385628,715816961.0,5592321.0,0.4265656708795496,0.28981197939195574,0.41677174623488644,0.7104081444345338,1.593900319848926,715816961.0,5592321.0,0.41677174623488644,0.23285332769705872,Kawung
Kawung331.jpg,0.4328674569839425,0.7510148584796851,1.5594659903358241,715816960.9999999,5592321.0,0.4328674569839425,0.34500559465720987,0.42344458200133306,0.7286162458093686,1.5807562510655317,715816961.0,5592321.0,0.42344458200133306,0.283594537004118,0.4380417384790193,0.7586657644634454,1.5471802929840033,715816961.0000001,5592321.0,0.4380417384790193,0.36299636913501954,0.42250660590867883,0.7265555316335004,1.582766919412913,715816961.0,5592321.000000001,0.42250660590867883,0.2781546133886906,Kawung
Kawung332.jpg,0.5396157469670619,0.7742069037769507,1.2997113290242464,715816960.9999999,5592321.0,0.5396157469670619,0.20931762679228152,0.5295644258315458,0.7513763725279119,1.3103942122157664,715816961.0,5592321.0,0.5295644258315458,0.12338982098458434,0.5396663132994866,0.7705379386706855,1.2971308868288494,715816961.0,5592321.0,0.5396663132994866,0.19066195180414974,0.5302932828159872,0.7528219481438193,1.309590002434834,715816961.0,5592321.0,0.5302932828159872,0.12848670703811618,Kawung
Kawung333.jpg,0.5327138641603815,0.7743754060875649,1.318472457078749,715816961.0,5592321.0,0.5327138641603815,0.2287962707055675,0.5242143489306527,0.7557746132316304,1.329732353456377,715816960.9999999,5592321.0,0.5242143489306527,0.1613136433500089,0.5309776789780525,0.7688001722387967,1.31994319426368,715816961.0,5592320.999999999,0.5309776789780525,0.20623389240858642,0.5236804969431063,0.7547288776796973,1.3304387617794582,715816960.9999999,5592321.0,0.5236804969431063,0.15772251733450612,Kawung
Kawung334.jpg,0.34363334881622304,0.7728129301164149,1.7368283835971494,715816961.0,5592321.0,0.34363334881622304,0.5274656525532156,0.3261785616125818,0.7374896195368007,1.7913410846437094,715816961.0,5592321.000000001,0.3261785616125818,0.4533464699587585,0.34230646734664644,0.7699843139667211,1.7412559660277762,715816961.0,5592321.0,0.34230646734664644,0.5213747668288032,0.3240085152237162,0.732876080337096,1.7978844036797863,715816961.0,5592321.0,0.3240085152237162,0.44373920229546837,Kawung
Kawung335.jpg,0.37616490840361877,0.76421931227509,1.6778544333004706,715816961.0,5592321.000000001,0.37616490840361877,0.46852933573838673,0.36769330507696674,0.746532156368222,1.7026509828670555,715816961.0000001,5592321.0,0.36769330507696674,0.42793604821702325,0.41775540658732824,0.8330821517546827,1.5493463216136867,715816961.0,5592321.000000001,0.41775540658732824,0.6233631296226383,0.36998936102563695,0.7511456955679268,1.696134937810736,715816961.0,5592321.0,0.36998936102563695,0.43834857009148664,Kawung
Kawung336.jpg,0.4355424853262192,0.7052281851682404,1.5434583490702725,715816961.0,5592321.0,0.4355424853262192,0.1733100802408724,0.4272690413189498,0.6808353581644266,1.5528246048815706,715816960.9999999,5592321.0,0.4272690413189498,0.10202008224774567,0.43554985449804073,0.7018884753790791,1.541833018807458,715816961.0,5592320.999999999,0.43554985449804073,0.16072628456278945,0.4270469447397054,0.6802202196044659,1.5530612407269855,715816960.9999999,5592321.000000001,0.4270469447397054,0.10028937025439065,Kawung
Kawung337.jpg,0.40782475584060224,0.6826948307215576,1.6078380944828559,715816961.0,5592321.0,0.40782475584060224,0.15508102674770152,0.40113544901326653,0.6607510841817119,1.615387244902259,715816960.9999999,5592321.000000001,0.40113544901326653,0.09460713543432055,0.4174472375321886,0.7043336511549226,1.5905294958585905,715816961.0,5592321.0,0.4174472375321886,0.21007637918070177,0.40129390319666775,0.6612431950296804,1.6152157281605037,715816960.9999999,5592321.000000001,0.40129390319666775,0.09592048863767964,Kawung
Kawung338.jpg,0.4653487705111916,0.7211133575415988,1.4708579987133044,715816960.9999999,5592321.0,0.4653487705111916,0.1638467489977465,0.45810875189074196,0.7015193922431027,1.478140875169276,715816961.0,5592320.999999999,0.45810875189074196,0.10229870800918003,0.4765065260293079,0.7433180573924276,1.4519868338593516,715816961.0,5592321.0,0.4765065260293079,0.2284653735965228,0.4552837651386855,0.6943837849475595,1.480772055224861,715816961.0,5592320.999999999,0.4552837651386855,0.0808378702800973,Kawung
Kawung339.jpg,0.38461250912359435,0.6962362891381909,1.6708603469681174,715816961.0,5592320.999999999,0.38461250912359435,0.2479013610955695,0.3728632129037999,0.6606895703257158,1.6928245166260663,715816961.0,5592321.0,0.3728632129037999,0.15793426853886902,0.4064220878581435,0.7437640328483992,1.6199444357451482,715816961.0,5592321.000000001,0.4064220878581435,0.3641640640884948,0.374867684906923,0.6668101989973242,1.6893840083255245,715816961.0,5592321.0,0.374867684906923,0.1731238153627237,Kawung
